Name;Email;Methods;Topics
Zoowee Blubberworth;zb@fakemail.com;Mathematics, md;viruses, Security
Flufffy Gloomkins;fg@fakemail.com;md, Statistics;Virtual Reality, proteins
Buritt Noseface;bn@fakemail.com;ff, Python;Virtual Reality, viruses
Peaberry Wigglewhistle;pw@fakemail.com;bioinformatics, qm;dna, methods development
Trashwee Sockborn;ts@fakemail.com;ff, Java;dna, proteins
Flapberry Fudgewhistle;ff@fakemail.com;Numerical Algorithms, Basis Sets;viruses, methods development
Gummoo Hooperbottom;gh@fakemail.com;Java, Numerical Algorithms;methods development, Virtual Reality
Humster Pottyworthy;hp@fakemail.com;Raman, bioinformatics;dna, methods development
Bugby Doodoohill;bd@fakemail.com;Machine Learning, X-ray;carbo, Virtual Reality
Gootu Snotborn;gs@fakemail.com;md, Python;carbo, viruses
