Name;Email;Methodologies;Topics;2016;2017;2018;2019
Peafy Doodoofish;pd@fakemail.com;Numerical Algorithms, Statistical Mechanics, Infrared, Python;Security, Viruses, Virtual Reality, Carbohydrates;No; No; Yes; No
Peawee Pimplehair;pp@fakemail.com;Numerical Algorithms, Bioinformatics, NMR, Raman;Methods Development, Virtual Reality, DNA, Viruses;Yes; Yes; No; No
Chewlu Boogerbrain;cb@fakemail.com;Basis Sets, Statistical Mechanics, Molecular Dynamics, Bioinformatics;Security, Virtual Reality, Methods Development, Protein;No; No; No; No
Eggster HoboSmittens;eh@fakemail.com;Infrared, Machine Learning, NMR, Raman;Security, Carbohydrates, Viruses, DNA;Yes; Yes; Yes; Yes
Bushspitz Wigglebottom;bw@fakemail.com;Statistics, NMR, X-ray, Bioinformatics;Viruses, Carbohydrates, Virtual Reality, DNA;Yes; No; Yes; No
Stinkroid Noodleshine;sn@fakemail.com;Raman, Statistical Mechanics, Force Fields, Mathematics;Methods Development, Security, Protein, Viruses;No; No; Yes; No
Hicktu Sockface;hs@fakemail.com;Java, Numerical Algorithms, Mathematics, Bioinformatics;Methods Development, Carbohydrates, DNA, Security;No; Yes; No; No
Chewberry Mudman;cm@fakemail.com;Statistics, Infrared, Numerical Algorithms, Machine Learning;Security, Protein, Virtual Reality, DNA;Yes; Yes; No; No
Sniffeenie Chewgold;sc@fakemail.com;Machine Learning, Numerical Algorithms, X-ray, Python;DNA, Carbohydrates, Methods Development, Protein;Yes; No; Yes; No
Fartbag Snotshine;fs@fakemail.com;Infrared, NMR, Mathematics, Java;Carbohydrates, Security, Virtual Reality, DNA;Yes; No; Yes; Yes
Eggpants Snothall;es@fakemail.com;X-ray, NMR, Mathematics, Basis Sets;Carbohydrates, Methods Development, Security, DNA;Yes; No; Yes; No
Dingbo Roachseed;dr@fakemail.com;Bioinformatics, NMR, Statistics, Force Fields;Security, Methods Development, Carbohydrates, Viruses;No; No; Yes; Yes
Zoobo Hobogold;zh@fakemail.com;Statistics, Force Fields, HPC, Molecular Dynamics;Viruses, Protein, Virtual Reality, Security;No; No; Yes; Yes
Gumbs Beaniebag;gb@fakemail.com;Statistics, Java, Statistical Mechanics, Quantum Mechanics;Carbohydrates, Viruses, Methods Development, Security;No; Yes; Yes; No
Shuwee Woofham;sw@fakemail.com;Basis Sets, Statistics, Statistical Mechanics, Java;DNA, Protein, Carbohydrates, Methods Development;Yes; No; No; No
Sniffdori Toothair;st@fakemail.com;Bioinformatics, Python, Quantum Mechanics, Basis Sets;Security, DNA, Virtual Reality, Viruses;No; No; No; No
Bugcan Noodleworthy;bn@fakemail.com;Infrared, Molecular Dynamics, Statistical Mechanics, HPC;DNA, Security, Methods Development, Protein;No; No; Yes; No
Sniffwee Gloomshine;sg@fakemail.com;X-ray, Statistical Mechanics, Mathematics, Molecular Dynamics;Security, Methods Development, DNA, Virtual Reality;Yes; Yes; No; Yes
Burberry Gloomhall;bg@fakemail.com;Java, NMR, HPC, Statistics;Virtual Reality, Protein, DNA, Methods Development;Yes; No; No; No
Slugtu Hooperseed;sh@fakemail.com;Force Fields, Statistical Mechanics, Statistics, Basis Sets;Viruses, Security, Virtual Reality, Protein;Yes; No; Yes; Yes
Bofy Gloomman;bg@fakemail.com;Quantum Mechanics, Machine Learning, Statistics, Python;Protein, Methods Development, Carbohydrates, Security;Yes; Yes; No; No
Sniffpants Pimplehill;sp@fakemail.com;Molecular Dynamics, Java, X-ray, Raman;Methods Development, Security, DNA, Protein;No; Yes; No; Yes
Stinkmoo Snotsniff;ss@fakemail.com;Statistical Mechanics, X-ray, Quantum Mechanics, Raman;Security, Methods Development, Carbohydrates, Protein;Yes; Yes; No; Yes
Barfberry Oinkhill;bo@fakemail.com;Machine Learning, Molecular Dynamics, Statistics, Mathematics;Carbohydrates, Viruses, Security, Methods Development;Yes; Yes; Yes; No
Barfaboo Roachson;br@fakemail.com;Basis Sets, Mathematics, Python, Numerical Algorithms;DNA, Viruses, Protein, Virtual Reality;Yes; Yes; No; Yes
Wormbag Chewface;wc@fakemail.com;Molecular Dynamics, Force Fields, NMR, X-ray;Protein, Security, Viruses, DNA;No; No; No; Yes
Peaster Beeman;pb@fakemail.com;Statistical Mechanics, Statistics, Python, Numerical Algorithms;Methods Development, Security, Carbohydrates, DNA;Yes; No; No; No
Figitt Tootson;ft@fakemail.com;Statistics, Mathematics, Raman, Bioinformatics;Protein, Viruses, Methods Development, DNA;Yes; Yes; No; No
Subo Doozyton;sd@fakemail.com;Statistical Mechanics, Numerical Algorithms, Raman, Mathematics;Methods Development, Viruses, Security, Protein;Yes; Yes; No; Yes
Pea-a-boo Moanihill;pm@fakemail.com;Infrared, Statistics, Force Fields, Quantum Mechanics;Carbohydrates, Virtual Reality, Viruses, Protein;Yes; Yes; Yes; No
Zoobuns Sockball;zs@fakemail.com;Java, Basis Sets, Statistical Mechanics, Numerical Algorithms;Protein, Methods Development, DNA, Security;Yes; Yes; Yes; Yes
Peamoo Fudgehill;pf@fakemail.com;Basis Sets, Force Fields, Infrared, X-ray;Virtual Reality, Viruses, Carbohydrates, DNA;Yes; No; Yes; Yes
Ratbuns Wigglefish;rw@fakemail.com;Molecular Dynamics, NMR, Numerical Algorithms, Python;Virtual Reality, Protein, DNA, Methods Development;No; Yes; No; No
Madaloo Snotseed;ms@fakemail.com;HPC, Molecular Dynamics, Quantum Mechanics, Python;Security, Viruses, Protein, DNA;Yes; Yes; No; Yes
Peabs Blubberseed;pb@fakemail.com;HPC, Python, Statistical Mechanics, Molecular Dynamics;Carbohydrates, Virtual Reality, DNA, Security;Yes; Yes; No; No
Bushbo Tootbean;bt@fakemail.com;Mathematics, Statistical Mechanics, Force Fields, Numerical Algorithms;Security, Protein, Virtual Reality, Methods Development;Yes; No; Yes; Yes
Binfy Moanigold;bm@fakemail.com;Numerical Algorithms, Statistics, Mathematics, Statistical Mechanics;Carbohydrates, Viruses, Virtual Reality, Methods Development;Yes; No; Yes; Yes
Bittyspitz Boogerfeet;bb@fakemail.com;Molecular Dynamics, Basis Sets, NMR, Statistical Mechanics;Carbohydrates, Methods Development, DNA, Security;Yes; Yes; Yes; Yes
Fartmoo PimpleFadden;fp@fakemail.com;Python, X-ray, Basis Sets, Numerical Algorithms;Protein, Methods Development, DNA, Viruses;Yes; Yes; No; Yes
Binpants Noodlefeet;bn@fakemail.com;Python, Infrared, Machine Learning, Bioinformatics;Viruses, Protein, Virtual Reality, DNA;Yes; No; Yes; Yes
Chewspitz Snotborn;cs@fakemail.com;Mathematics, Raman, Statistical Mechanics, Java;Carbohydrates, Virtual Reality, Viruses, DNA;No; No; No; Yes
Gootu Messyhall;gm@fakemail.com;Java, HPC, Raman, Python;Virtual Reality, Protein, Carbohydrates, Methods Development;Yes; No; Yes; Yes
Hickwee Roachworth;hr@fakemail.com;Infrared, Mathematics, X-ray, HPC;Carbohydrates, DNA, Viruses, Protein;Yes; No; No; No
Sniffwax Pukeseed;sp@fakemail.com;Mathematics, Java, X-ray, Force Fields;Virtual Reality, Methods Development, Security, Protein;Yes; No; Yes; No
Weebee Tootseed;wt@fakemail.com;X-ray, Python, Infrared, Statistics;Carbohydrates, DNA, Virtual Reality, Viruses;No; No; No; No
Bittymoo FudgeSmittens;bf@fakemail.com;X-ray, Java, HPC, Statistical Mechanics;Carbohydrates, Methods Development, Protein, Security;Yes; No; Yes; Yes
Shoospitz Droopyface;sd@fakemail.com;Numerical Algorithms, Basis Sets, Force Fields, X-ray;Methods Development, Viruses, Protein, Security;No; No; No; No
Borebo Madworthy;bm@fakemail.com;Statistical Mechanics, Java, Infrared, X-ray;DNA, Virtual Reality, Carbohydrates, Security;No; Yes; No; No
Ratspitz Noodlehill;rn@fakemail.com;Python, Machine Learning, Java, Numerical Algorithms;DNA, Protein, Virtual Reality, Viruses;No; No; Yes; Yes
Tumspitz Spottyhair;ts@fakemail.com;Machine Learning, Raman, X-ray, NMR;Carbohydrates, DNA, Virtual Reality, Viruses;Yes; No; No; Yes
